Qty,Value,Device,DK P/N,Extended,DK for Ext$,Package
13,100n,CAPACITOR_NP_0603,399-1095-2-ND,65000,362.7,C0603
1,10uF,CAPACITOR_P_4MM,490-7201-2-ND,5000,484.35,CP4MM
5,1uF,C-USC0603,311-1443-2-ND,25000,178.25,C0603
1,560pF/50V,C-USC0603,1276-1278-2-ND,5000,62.9,C0603
1,BAT42,DIODE_SOD-123,BAT42W-FDITR-ND,5000,442.2,SOD-123
4,,LEDCHIP-LED0603,475-2512-2-ND,20000,1071.2,CHIP-LED0603
5,LMC7101,LMC7101,576-2575-2-ND,25000,7725.5,SOT23-5
1,LMR62014,LMR62014,296-39046-2-ND,5000,2595.55,SOT23-5
1,ferrite,L-US,,5000,,C0603
1,MBR0520,MBR0520,MBR0520LT1GOSTR-ND,5000,397.2,SOD123
2,SMF6.0A,MBR0520,F5749TR-ND,10000,1517.1,SOD123
2,NC7WZ14P6X,NC7WZ14P6X,NC7WZ14P6XTR-ND,10000,810.4,SC70-6
2,BSS138,N-CHANNEL_FET_SOT-23-3,BSS138LT3GOSTR-ND,10000,451.64,SOT-23-3
3,,PINHD-2X3,952-1921-ND,15000,2617.5,2X03
2,10,RESISTOR_0603,311-10.0HRTR-ND,10000,21.26,R0603
1,100k,RESISTOR_0603,311-10.0KHRTR-ND,5000,9.62,R0603
2,13k3,RESISTOR_0603,311-13.3KHRTR-ND,10000,21.26,R0603
5,1k69,RESISTOR_0603,311-1.69KHRTR-ND,25000,47.5,R0603
16,2k,RESISTOR_0603,311-2.00KHRTR-ND,80000,139.2,R0603
5,604k,RESISTOR_0603,311-604KHRTR-ND,25000,47.5,R0603
1,63k4,RESISTOR_0603,311-63.4KHRTR-ND,5000,12.45,R0603
10,825k,RESISTOR_0603,311-825KHRTR-ND,50000,21.62,R0603
1,SDR0403-100ML,SDR0403,SDR0403-100MLTR-ND,5000,1287.25,SDR0403
1,SP3002-04JTG,SP3002,F2916TR-ND,5000,1824.75,SC70-6
1,STM32F070CBT6,STM32F042-LQFP48,497-15099-ND,5000,8179.93,LQFP48
1,TLV70233PDBVR,TLV70233PDBVR,296-39284-2-ND,5000,767.64,SOT-23-5
1,,USB_MICRO_RIGHT,609-4616-2-ND,5000,604.056,MICROUSB-RIGHT
TOTAL,,,,,32354.92,
PER BOARD,,,,,6.470984,
